# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=model-alt/model_part_noar_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.020859
# Diagonal elements of inverse mass matrix:
# 0.069624, 4.20402, 0.2236, 0.11574, 0.0128262, 0.0358953, 0.103208, 0.0754469, 0.181723, 0.177036, 0.0581575, 0.285913, 0.27962, 0.465641, 0.342936, 0.712014, 0.535347, 0.693832, 0.884121, 0.302893, 0.735265, 0.62536, 0.790309, 0.893484, 0.860529, 0.828848, 1.0112, 0.89489, 1.42977, 0.619657, 0.577189, 0.904185, 0.671256, 0.82244, 0.802405, 0.909044, 0.893862, 1.59678, 0.131997, 0.073575, 0.206718, 0.153958, 0.323617, 0.310788, 0.432987, 0.369595, 0.248793, 0.0371144, 0.0134774, 0.0925753, 0.0380793, 0.104286, 0.114698, 0.283168, 0.13199, 0.0716844, 0.0484266, 0.0161421, 0.128406, 0.0534458, 0.132633, 0.095574, 0.308281, 0.140063, 0.0901497, 0.0746623, 0.0384329, 0.228391, 0.11258, 0.251631, 0.231232, 0.340581, 0.302451, 0.128066, 0.0314212, 0.0221762, 0.246943, 0.0712087, 0.100153, 0.14901, 0.245769, 0.174149, 0.0878343, 0.0277937, 0.0238649, 0.221222, 0.071644, 0.0956814, 0.124419, 0.244041, 0.158291, 0.102163, 0.0014084, 0.0231686, 0.0713753, 0.181644, 0.135032, 0.139127, 0.246154, 0.121898, 0.130145, 0.204262, 0.126296, 0.136179
-2020.64,0.869963,0.020859,7,255,0,2080.18,-0.291167,4.22409,-1.49002,-2.19944,-0.334835,-1.07397,1.56091,0.955598,-1.08237,1.84086,3.81937,-0.226784,1.19842,-1.17056,0.515685,-1.30011,1.343,-0.596851,-0.797074,0.212471,0.978664,0.093172,-0.368029,-0.640645,1.15396,1.77934,-1.76691,-1.33357,0.118902,-0.791243,-0.694082,0.0834057,0.211346,-0.757735,-0.28392,0.372068,-0.937187,0.0556601,0.460446,0.113499,0.22438,0.230956,-0.488904,-0.520094,-0.316286,0.0731797,1.28344,0.485787,0.383203,0.798147,-0.00382012,-0.456973,0.731949,-2.61423,-0.0887654,0.894417,-0.0761959,0.201915,1.35084,0.363413,-0.293422,0.313657,-2.14023,0.07837,1.02287,-0.029333,-1.01151,1.82066,-0.491009,-0.812469,-2.18973,-0.449334,-0.360277,0.321836,0.0140593,-0.198475,0.918991,-0.411023,0.385627,-0.396446,-0.777107,0.45327,2.23072,-0.19634,-0.421087,2.42871,-0.863019,0.150093,-0.879498,-1.59226,0.0889035,1.01118,0.405237,1.78428,0.523617,-0.99412,1.27457,1.39333,-1.64749,1.05035,1.1486,-1.07772,1.19579,1.28665,-5.69094,-8.40046,-1.27886,-4.10187,5.9617,3.64978,-4.13397,7.03093,-0.048185,0.254629,-0.248711,0.109568,-0.276236,0.285348,-0.126814,-0.169355,0.116366,0.0110784,-0.0437595,-0.0761743,0.137208,0.211568,-0.21009,-0.158565,-0.0440407,-0.0386327,0.00464237,0.0117635,-0.0421756,-0.015803,0.0207094,-0.052164,0.590957,0.14567,0.28798,0.29642,-0.627481,-0.667512,-0.405935,0.0939221,0.434495,0.342743,0.713876,-0.00341678,-0.408725,0.654668,-2.33821,-0.0793932,-0.0779384,0.206532,1.38174,0.371723,-0.300132,0.320829,-2.18918,0.0801622,-0.00944044,-0.325542,0.585956,-0.158024,-0.261482,-0.704735,-0.144612,-0.11595,0.0313623,-0.442742,2.05001,-0.916877,0.860226,-0.884361,-1.73351,1.01112,-0.198535,-0.425795,2.45587,-0.872669,0.151771,-0.889332,-1.61007,0.0898975,-0.520538,0.667385,0.729571,-0.862651,0.549981,0.601425,-0.564313,0.626138,0.673714,-23.6266,-0.291167
-2006.81,0.993614,0.020859,8,255,0,2063.51,-0.229666,7.40635,-1.15278,-1.49033,-0.158798,-0.661853,0.79303,0.634538,-1.64945,0.92421,5.97316,-0.509643,0.797169,-0.534155,0.542629,-0.823532,0.228269,-0.63574,-0.554959,0.448919,-2.15413,0.482011,0.0188443,-0.325847,-1.75507,-1.71857,1.28652,1.05158,0.0758503,-0.226735,-0.550033,0.101084,-0.39364,0.314757,-0.361184,-0.284525,-0.346484,0.27839,-0.384598,0.143794,1.50522,0.923848,-0.64809,-0.98992,-3.60578,0.019941,0.527105,-0.129582,0.0403198,0.665882,0.168498,-0.527345,0.519892,-1.72008,0.735132,1.52379,-0.248858,0.0157513,0.717213,0.289902,0.012294,-0.00291042,-1.15712,0.00220837,1.76394,-0.251624,-0.32211,0.785496,-0.143328,-0.542187,-0.502507,-1.77304,0.776206,1.32625,-0.381532,-0.473735,1.78644,-0.429173,0.221918,-0.796293,-1.7709,0.596709,1.25457,-0.382328,-0.228429,1.04552,-0.258599,-0.040829,-0.48354,-0.960202,0.301898,1.81667,0.422168,1.97647,0.810991,-0.610933,0.762276,0.730488,-1.01604,0.584095,0.647537,-0.824802,0.71483,0.772236,-6.88573,-8.90197,-0.948526,-3.95336,4.7369,3.7902,-9.85244,5.52046,-0.228788,0.357864,-0.239792,0.243596,-0.369699,0.102474,-0.285396,-0.249131,-0.163392,0.0365607,0.00142934,-0.0247156,-0.133123,-0.130354,0.0975831,0.0797625,-0.0631208,-0.153124,0.0281407,-0.109586,0.0876252,-0.10055,-0.079209,-0.0964575,-0.202724,0.0757945,0.793412,0.486965,-0.341611,-0.521792,-1.90062,0.010511,-0.197455,0.0614388,1.01466,0.256756,-0.803562,0.792205,-2.62104,1.12018,-0.43897,0.0277842,1.26512,0.511368,0.0216859,-0.0051338,-2.04108,0.00389543,-0.333715,-0.427197,1.04176,-0.190088,-0.719073,-0.666447,-2.35148,1.02944,-0.478657,-0.594332,2.2412,-0.538427,0.278411,-0.999002,-2.22171,0.748611,-0.694564,-0.414981,1.89936,-0.46979,-0.0741729,-0.878434,-1.74437,0.54845,-0.495461,0.618199,0.592419,-0.824,0.473696,0.525147,-0.668907,0.579721,0.626277,-26.3464,-0.229666
-2015.02,0.960019,0.020859,8,255,0,2058.44,0.198982,5.89232,-1.90366,-1.79775,-0.17518,-1.02138,0.988022,0.815203,-1.47704,0.643921,4.00663,0.453657,2.35785,0.27418,0.532159,0.615928,1.59162,-0.798234,-0.444934,0.202204,1.53828,1.04609,0.463309,0.0284732,1.79492,1.87432,-0.793459,-1.35554,0.0600852,-0.037563,-0.17064,0.452393,0.273144,-1.15819,0.80053,-0.866295,-0.189551,0.0144669,1.10235,0.310803,1.64777,0.129649,-0.736633,-0.742098,-0.625132,0.328611,0.494705,0.293032,0.210875,0.991295,0.308783,-0.325535,0.546308,-2.05776,0.0578299,1.12123,0.0622107,0.0890049,1.40391,0.279016,0.114085,0.0851208,-2.40583,0.559278,1.03238,-0.0258011,-0.522989,1.22483,-0.102115,-1.19297,-2.43994,-0.843419,-0.10373,0.683175,0.11207,-0.226738,1.16769,-0.460056,0.420074,-0.717886,-0.693911,0.767842,1.84541,-0.203872,-0.464613,1.89448,-0.652407,-0.22232,-0.863603,-1.40985,0.496877,1.30719,0.404685,1.861,0.69883,-1.47979,0.262205,0.385542,-1.81113,0.135354,0.183569,-1.56164,0.214007,0.295067,-7.62728,-7.20293,-0.701882,-4.09231,3.95864,3.26622,-5.91795,2.57995,0.0917313,0.476767,0.0554403,0.107605,0.124543,0.321832,-0.161406,-0.0899676,0.0924277,0.0628547,0.027838,0.00171082,0.107848,0.112619,-0.0476752,-0.0814478,-0.000543422,-0.00246864,0.00654474,0.00395156,-0.0167555,0.0115812,-0.0125326,-0.00274222,0.545337,0.153756,0.81516,0.0641378,-0.364416,-0.36712,-0.309256,0.162565,0.328556,0.236439,1.11147,0.346217,-0.364999,0.612536,-2.30722,0.0648406,0.0642252,0.091887,1.44938,0.288051,0.117779,0.0878771,-2.48374,0.577388,-0.0176267,-0.357293,0.836777,-0.0697625,-0.815008,-1.66691,-0.576203,-0.0708656,0.206814,-0.418423,2.15486,-0.84899,0.775207,-1.32479,-1.28055,1.41698,-0.266499,-0.607336,2.47644,-0.852818,-0.290614,-1.12889,-1.84294,0.649511,-1.03412,0.183236,0.269428,-1.26567,0.0945893,0.128283,-1.09132,0.149555,0.206202,-24.3582,0.198982
-2013.3,0.932602,0.020859,8,255,0,2071.87,0.098093,10.007,-1.51289,-1.92402,-0.0436732,-0.829382,1.54625,0.456676,-1.45532,1.63111,5.11441,-1.3029,0.75127,-0.815015,0.41215,-0.129769,1.25193,0.271797,0.118148,0.372542,-1.64849,0.719491,0.718883,-0.824911,-2.12108,-0.75266,0.988572,0.672649,0.166463,-1.01674,0.368375,0.0959201,0.117727,0.560932,-0.120993,0.638002,-1.00443,0.205456,-0.220529,0.118388,0.759782,0.0657444,-0.381819,-0.0269985,-1.9118,0.089335,1.37448,-0.185643,0.219184,1.08277,-0.0330555,0.129511,0.742539,-2.01404,0.960112,1.20092,-0.328046,0.215009,1.1801,-0.103135,-0.79701,0.764544,-2.41219,0.252675,1.16928,-0.759288,-0.247071,1.35527,-0.674074,0.313089,-0.168779,-1.29833,1.44837,0.616608,-0.108933,-0.222591,1.10606,-0.347966,0.168454,-0.177058,-1.29891,0.479006,1.9641,-0.119016,-0.209587,1.465,-1.03585,0.0132978,-0.269869,-1.86122,0.742069,1.08309,0.447099,2.00258,0.459329,-1.83523,0.570854,0.664704,-2.69751,0.351977,0.431483,-2.22129,0.321195,0.612487,-7.73754,-9.84023,-0.223363,-4.2418,7.90818,2.33563,-7.44309,8.34215,-0.485385,0.27988,-0.303628,0.153543,-0.0483443,0.466398,0.101256,0.0440153,-0.274413,0.119769,0.119667,-0.137317,-0.353081,-0.12529,0.164561,0.111971,-0.208896,0.0756851,0.0197074,0.0241878,0.115247,-0.0248588,0.131082,-0.206368,-0.303112,0.162721,1.0443,0.0903642,-0.524801,-0.0371089,-2.62772,0.122789,-0.222942,0.263222,1.30032,-0.0396971,0.155532,0.891731,-2.41871,1.15302,-0.383577,0.251406,1.37987,-0.120593,-0.931927,0.893964,-2.82053,0.295448,-0.468183,-0.152346,0.835671,-0.41564,0.193053,-0.10407,-0.800562,0.893076,-0.213956,-0.437193,2.17242,-0.683441,0.330861,-0.347761,-2.5512,0.940817,-0.128905,-0.227002,1.58674,-1.12193,0.0144027,-0.292294,-2.01588,0.803731,-0.842973,0.26221,0.305318,-1.23905,0.161673,0.198193,-1.02031,0.147534,0.281333,-26.6457,0.098093
-2006.36,0.948813,0.020859,8,255,0,2072.22,-0.0197193,6.77428,-1.13181,-1.26425,-0.0880154,-0.546763,0.806697,0.918144,-1.01403,1.03281,7.04153,0.247044,0.925309,-1.10527,1.13814,0.0934282,0.519485,-0.510105,-1.70878,0.390996,1.18168,1.14138,-0.105092,-0.576137,1.47115,-0.0619653,1.66833,0.106363,0.0163469,0.528372,-0.350294,1.99821,-0.0646879,0.292027,-0.965404,-0.968893,0.501294,0.0427295,0.0840079,0.0724359,0.402475,0.194569,-0.605857,-0.246808,-0.957762,-0.230417,2.00406,0.154893,0.0992633,0.728902,0.145037,-0.113312,0.19874,-1.80565,0.817557,1.50672,0.402086,0.165822,0.769555,0.145081,-0.645719,0.303101,-2.34818,0.439191,0.791766,0.0285743,-0.384136,1.23738,0.450831,-1.48756,-2.93129,-1.1647,-0.249002,0.616584,-0.0169388,-0.325475,1.61509,-0.333426,-0.301758,-0.910226,-1.84258,0.318958,1.27876,0.30587,-0.434855,1.10811,-0.430508,-0.39206,-0.776156,-2.09379,0.5333,1.26319,0.398528,1.63986,0.910589,-0.905945,0.521915,0.565079,-1.20906,0.306491,0.487916,-0.928385,0.375332,0.444247,-7.96969,-8.90223,-0.619763,-3.85004,5.68038,6.46514,-7.14033,7.27259,0.0965933,0.361793,-0.432155,0.44501,0.0365301,0.203117,-0.199449,-0.668128,0.0193168,0.018658,-0.00171794,-0.00941808,0.0240488,-0.00101294,0.0272721,0.00173871,0.0225771,-0.0149679,0.0853825,-0.00276408,0.0124782,-0.0412512,-0.0414003,0.0214201,0.168356,0.145165,0.806582,0.389927,-1.21417,-0.494617,-1.91941,-0.461768,0.233381,0.149562,1.09825,0.21853,-0.170729,0.299445,-2.7206,1.23183,0.318358,0.131292,0.609308,0.11487,-0.511258,0.239985,-1.85921,0.347737,0.0176185,-0.236852,0.762949,0.277975,-0.917203,-1.80739,-0.718139,-0.153531,-0.0216606,-0.416204,2.06531,-0.426371,-0.385876,-1.16396,-2.35621,0.40787,0.386373,-0.549306,1.39976,-0.543815,-0.495248,-0.980435,-2.64487,0.673661,-0.824944,0.47525,0.514555,-1.10096,0.279087,0.444291,-0.845377,0.341773,0.404526,-26.3747,-0.0197193
-2019.15,0.908075,0.020859,8,255,0,2073.05,-0.170163,7.49625,-1.68839,-1.30141,-0.073163,-0.480595,0.974085,0.327542,-1.43427,1.42074,5.60848,-0.288005,1.13531,-0.381713,0.0611194,1.22212,1.10936,-0.170286,-0.610802,0.507376,-1.21357,0.723504,-0.530433,-0.259928,-1.86665,0.621869,-1.21756,-0.178915,0.145065,-0.548308,0.708938,-0.787093,0.982884,-0.285245,0.350415,2.04991,-1.4562,0.214765,-0.0555847,0.611807,0.713865,0.24058,-0.430095,-0.933462,-2.71476,0.464221,0.66948,-0.101356,0.40842,0.747885,-0.136424,0.470227,0.341054,-2.50901,0.453513,1.22334,-0.248312,0.7258,1.96921,0.17537,0.325493,-0.0468241,-2.34368,0.522812,0.545608,-0.0712965,-0.0266534,1.01913,-0.855415,0.222017,-0.550568,-1.11523,0.972523,0.609176,-0.148596,-0.0492325,1.68792,-0.486367,0.810294,-0.699398,-1.19047,0.864218,1.22726,-0.259558,-0.231691,1.62664,-0.782655,0.103952,-0.70778,-2.21736,0.60352,1.13691,0.443191,1.96993,0.4809,-1.33559,1.16547,1.23006,-1.78186,0.999042,1.01136,-1.43963,1.0571,1.31146,-9.46929,-7.29893,-0.410333,-2.69541,5.46314,1.83701,-8.04409,7.9682,-0.146127,0.576029,-0.193672,0.0310105,0.620076,0.56286,-0.086399,-0.309906,-0.176047,0.104955,-0.0769472,-0.0377065,-0.270785,0.0902114,-0.176625,-0.0259542,-0.117757,0.152255,-0.16904,0.211089,-0.0612606,0.075257,0.440249,-0.312742,-0.0372129,0.409592,0.477919,0.161063,-0.28794,-0.624934,-1.81748,0.310787,-0.123992,0.499636,0.914917,-0.166892,0.575246,0.417224,-3.06937,0.5548,-0.135481,0.396002,1.07442,0.0956833,0.177591,-0.0255476,-1.27873,0.28525,-0.0434321,-0.0162366,0.620828,-0.521098,0.135247,-0.335393,-0.679368,0.592438,-0.182366,-0.0604209,2.07151,-0.596897,0.994439,-0.858341,-1.46101,1.06062,-0.295094,-0.263411,1.84934,-0.889807,0.118183,-0.804681,-2.52094,0.686146,-0.642284,0.560475,0.591537,-0.856897,0.48044,0.486365,-0.692317,0.508358,0.630683,-25.5047,-0.170163
