# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=models/model_sim_part_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.022318
# Diagonal elements of inverse mass matrix:
# 0.0773828, 6.73652, 0.357074, 0.126255, 0.0266793, 0.0624428, 0.150048, 0.141263, 0.235466, 0.273376, 0.0730166, 0.29185, 0.196767, 0.452191, 0.27597, 0.445191, 0.467681, 0.553455, 0.534714, 0.223984, 0.269353, 0.203302, 0.478343, 0.265153, 0.530129, 0.427096, 0.60097, 0.580195, 0.294, 0.371387, 0.298115, 0.507553, 0.295113, 0.470263, 0.502328, 0.756022, 0.530692, 0.483486, 0.41184, 0.298526, 0.550618, 0.33007, 0.62696, 0.55712, 0.659934, 0.55154, 0.636777, 0.0964741, 0.0432385, 0.132042, 0.0799001, 0.182171, 0.174999, 0.369982, 0.260069, 0.115351, 0.328797, 0.234582, 0.46643, 0.328573, 0.535409, 0.446641, 0.538666, 0.51642, 0.433529, 0.493258, 0.365404, 0.610896, 0.435777, 0.569324, 0.702237, 0.689717, 0.553548, 0.543134, 0.14112, 0.072865, 0.324268, 0.152581, 0.280769, 0.311777, 0.374499, 0.292093, 0.119122, 0.0740533, 0.0607611, 0.238369, 0.132731, 0.156991, 0.153523, 0.294811, 0.199734, 0.126891, 0.0092186, 0.00163859, 0.0248873, 0.099983, 0.183969, 0.142662, 0.139834, 0.277121, 0.120565, 0.13391, 0.159665, 0.111858, 0.128834
-1858.89,0.996105,0.022318,8,255,0,1915.47,0.146713,8.75537,-2.04217,-1.02445,-0.03231,-0.254148,0.933175,0.124582,-0.334637,1.82577,7.28461,-0.0717023,0.646256,-1.1409,0.520091,0.997474,1.24428,-0.320632,0.109006,0.8621,0.191069,-0.357299,-2.40489,-0.150811,-0.661077,0.47753,0.434848,-1.82237,0.677996,-0.764832,-0.160715,-1.55926,0.914811,1.46657,2.0848,1.11945,-0.333646,0.488552,0.000639882,0.339526,0.940479,0.251244,0.0799388,0.640206,-0.874753,-0.0925348,0.64684,-0.028633,0.185694,0.122504,0.556926,1.15233,1.91824,-3.63001,0.636862,0.873822,-0.673504,0.252565,0.7297,0.733574,0.659226,-0.76912,-0.556463,-1.10392,0.63829,-0.0663334,-1.2705,0.371304,-0.712109,0.0247166,-1.7389,-1.11027,-1.25662,0.202426,-0.00530588,-0.424867,1.74687,0.447249,1.17604,-0.261977,-0.826625,-0.124884,0.716605,0.132189,-0.774394,1.46871,-1.24084,1.28903,-0.0890164,-2.19304,-0.751115,0.752467,0.241182,0.416948,2.05021,0.830418,-1.22715,0.301799,0.290086,-1.67692,0.242986,0.124566,-1.23605,0.179781,0.250691,-14.8764,-7.46273,-0.235366,-1.85137,6.79782,0.907531,-2.4377,13.3,-0.0618145,0.557137,-0.983574,0.448371,0.859922,1.07269,-0.276417,0.0939743,0.129544,-0.242247,-1.6305,-0.102249,-0.448208,0.323763,0.294825,-1.23556,-0.37366,-0.0785176,-0.761777,0.446933,0.716494,1.01853,0.546911,-0.163003,0.000413901,0.219619,0.608339,0.162515,0.0517076,0.414111,-0.565825,-0.0598552,-0.0250201,0.162263,0.107047,0.486655,1.00693,1.6762,-3.17198,0.556504,-0.429891,0.16121,0.46576,0.468233,0.420778,-0.490921,-0.355185,-0.704624,-0.0134276,-0.257182,0.0751616,-0.144149,0.00500328,-0.351998,-0.224747,-0.254373,-0.00380222,-0.304461,1.25182,0.320501,0.842758,-0.187734,-0.592363,-0.0894926,0.0994682,-0.582706,1.10516,-0.933692,0.969952,-0.0669819,-1.65019,-0.565189,-1.01905,0.250619,0.240893,-1.39254,0.20178,0.103441,-1.02643,0.149293,0.208178,-26.6127,0.146713
-1853.43,0.984155,0.022318,8,255,0,1904.2,-0.176858,3.09235,-2.40801,-0.956488,-0.249691,-0.394307,1.07123,0.302872,-0.0417214,-0.939364,3.7729,0.417644,0.887865,-1.08942,0.365132,0.247914,1.01006,1.44938,-0.297972,0.780352,-3.08484,0.641063,-1.54921,0.845442,-0.731524,-0.161511,0.834564,1.75783,0.156847,-0.402345,0.0368562,-1.30574,0.695392,0.801581,1.84567,1.82268,-0.140903,0.423355,0.816428,0.644744,1.4566,-0.43362,1.49608,0.438087,0.733349,1.29786,0.559745,0.0224769,0.205117,0.452026,0.0324817,0.110781,0.415618,-1.49749,0.557813,1.55144,-0.652183,1.88108,1.68512,0.667215,0.102167,-1.26023,-1.06467,1.10089,0.178124,-0.115454,-0.036195,0.604361,-0.905688,-0.601914,-2.00948,1.58709,-0.199743,0.499015,0.14924,-0.252968,2.1872,0.00224724,0.275193,-0.236096,-0.138419,0.23883,0.878442,-0.348699,-0.256758,1.39035,-0.508816,-0.779634,-0.394326,-1.13407,0.245601,1.54594,0.22481,0.407834,2.0859,0.668312,-1.12377,0.845824,0.889069,-1.59856,0.735818,0.777359,-0.895384,0.418594,0.894614,-9.08518,-3.60874,-0.94206,-1.48768,4.04164,1.14271,-0.157411,-3.54413,0.325909,0.692847,-0.850133,0.284931,0.19346,0.788202,1.13103,-0.232523,-0.483847,0.100549,-0.242988,0.132605,-0.114737,-0.0253324,0.130899,0.275709,-0.170335,0.0156032,-0.552791,0.294397,0.339353,0.781375,0.771642,-0.0596519,0.456991,0.360892,0.815323,-0.242716,0.837422,0.245217,0.410489,0.726472,0.0348715,0.318227,0.70129,0.0503933,0.17187,0.644805,-2.32326,0.865412,-0.116169,0.335066,0.30016,0.118847,0.0181984,-0.224477,-0.189643,0.196095,-0.0576134,-0.0180619,0.301585,-0.451952,-0.300365,-1.00276,0.79198,-0.099675,0.131099,-0.222217,1.92133,0.00197407,0.241741,-0.207397,-0.121593,0.209799,-0.539069,-0.396934,2.1494,-0.786602,-1.20527,-0.609606,-1.75321,0.379686,-0.751026,0.565275,0.594176,-1.06834,0.491756,0.519518,-0.598396,0.279751,0.597881,-22.9468,-0.176858
-1846.53,0.971274,0.022318,8,255,0,1897.97,0.253277,6.6035,-1.20064,-0.893009,-0.143254,-0.376262,0.624385,0.465512,-0.444511,1.18412,9.69698,0.454354,0.105989,-0.68352,0.227685,0.557621,0.71669,0.194645,-0.523712,1.3382,0.00163764,-0.965812,-1.1104,0.822935,0.0312585,-0.691701,1.92869,-0.805146,0.401633,0.643525,-1.34751,-1.55535,-0.592653,0.756044,2.00651,-0.650768,-0.581002,0.254179,0.782816,-0.443889,1.05418,-0.612832,0.90567,1.06904,-2.58999,0.289887,0.624523,0.382954,-0.254332,0.549654,0.4369,0.172618,0.808624,-1.94703,0.0211932,1.40914,0.161565,-0.351915,0.681319,0.282259,0.468106,0.107541,-1.43366,-0.185315,0.591814,0.686566,-1.85566,0.926749,-0.275415,-0.621839,-1.34725,-1.6608,-0.386107,0.369608,0.944026,-1.2206,2.40111,-0.62081,1.27506,-0.620952,-2.3433,-0.283027,0.67019,0.351718,-0.9328,1.93621,-1.09706,-1.01479,0.321376,-2.38479,-0.495026,0.881394,0.247735,0.403162,2.07674,1.2628,-0.927935,0.185018,0.0629956,-1.20695,-0.000575588,0.0592637,-0.894919,-0.0120172,0.121281,-11.6426,-8.65949,-1.38913,-3.6486,6.05465,4.51406,-4.31041,11.4824,0.608015,0.141834,-0.914685,0.304687,0.746208,0.959074,0.260473,-0.700831,0.000657731,-0.387902,-0.445974,0.330518,0.0125544,-0.27781,0.774626,-0.323373,0.16357,-0.342508,-0.395337,-0.15064,0.19217,0.510012,-0.165411,-0.147678,0.488887,-0.277219,0.658361,-0.382728,0.565612,0.667641,-1.61751,0.181041,0.539636,-0.35839,0.77454,0.615655,0.243243,1.13947,-2.74364,0.0298642,0.0956163,-0.208268,0.403215,0.167045,0.277032,0.0636444,-0.848462,-0.109672,0.25376,-0.685867,0.342534,-0.101796,-0.229837,-0.497953,-0.613844,-0.142708,0.632677,-0.818032,1.6092,-0.416061,0.854533,-0.416156,-1.57045,-0.189682,0.310002,-0.822164,1.70657,-0.966945,-0.894432,0.283258,-2.10194,-0.436313,-1.17179,0.23364,0.0795506,-1.52413,-0.000726851,0.0748379,-1.1301,-0.0151752,0.153154,-26.9255,0.253277
-1840.88,0.802298,0.022318,8,255,0,1889.43,-0.110029,9.03068,-1.65533,-0.776172,-0.101525,-0.420544,0.59156,0.34064,-0.946384,0.201728,7.65252,0.85875,0.38464,-1.54868,-0.0863621,0.10577,0.959559,-1.01064,-0.0591957,0.412059,-0.311181,-1.1563,-1.63503,-1.49279,-1.15807,1.12221,-0.987757,0.451773,0.241587,0.193236,-1.10825,-0.990863,-0.11737,0.369547,0.595265,1.60218,0.196732,0.326641,1.86592,-0.406042,0.615443,0.0671145,0.785685,1.13383,0.693022,0.627065,0.437367,0.375567,-0.124977,0.133455,0.352435,0.294536,0.421883,-1.24698,0.749725,1.36771,-0.260381,-0.28701,0.74139,0.593573,-1.30949,-1.36613,-1.35095,0.611006,0.543724,0.461983,-0.433022,0.61692,-0.00996778,-0.730496,-1.45601,0.860415,0.189333,1.15625,0.555364,-0.690731,1.39851,-0.491426,0.710983,-1.00669,0.905067,1.03832,1.00776,0.395632,-1.12581,2.25008,-1.24534,0.024959,-0.92935,-3.20212,0.262736,0.875957,0.201583,0.405809,1.95008,1.23149,-0.692295,0.473942,0.382994,-0.897646,0.38422,0.389912,-0.56068,0.24725,0.345415,-12.6675,-5.93967,-0.776924,-3.21822,4.52692,2.60675,-7.24222,1.54373,0.353856,0.158495,-0.638146,-0.0355863,0.0435836,0.395395,-0.416445,-0.0243921,-0.0751773,-0.279348,-0.395003,-0.36064,-0.279776,0.271113,-0.23863,0.109143,0.0631186,-0.361998,-0.323656,-0.0383379,0.120709,0.194438,0.523339,0.0642606,0.816092,-0.177589,0.269174,0.0293536,0.343632,0.495898,0.303105,0.274257,0.513668,-0.170932,0.182527,0.482029,0.402841,0.577015,-1.70551,1.02541,-0.141575,-0.156054,0.403112,0.32274,-0.712,-0.742801,-0.734547,0.332219,0.534167,-0.500681,0.713313,-0.0115252,-0.844635,-1.68352,0.994855,0.218916,0.559673,-0.69609,1.40937,-0.495239,0.716499,-1.0145,0.91209,1.04638,0.346556,-0.986164,1.97097,-1.09087,0.021863,-0.81407,-2.80492,0.230145,-0.852558,0.583657,0.471655,-1.10545,0.473164,0.480175,-0.690475,0.304487,0.425376,-27.2826,-0.110029
-1845.01,0.982372,0.022318,8,255,0,1892.06,0.294419,6.17612,-2.01871,-1.25749,-0.186931,-0.569727,0.864404,0.443617,-0.75162,1.3334,6.22839,-0.125278,0.73317,0.161301,0.516812,-0.492794,0.515158,-0.439643,-0.33723,0.468801,-0.750859,-1.69047,0.0124751,-1.81525,-0.956156,1.37877,-0.593849,-0.29635,0.0916421,-0.800323,0.122937,-1.03344,0.639212,-0.311896,0.616356,0.106635,0.21427,0.439604,1.29292,0.213561,0.528617,-0.516956,1.65524,1.02083,-1.43561,-0.237508,0.613292,0.0245952,0.0596031,0.721791,0.183275,0.161696,0.341805,-1.63607,0.592024,2.03667,-0.62792,0.267677,1.18515,0.01124,-0.133417,-0.93493,-0.24886,-0.504136,0.600829,1.08258,-0.808527,1.7798,-0.207905,-1.90113,-1.13066,0.324925,-0.154889,0.296061,0.0651002,-0.436961,2.39957,-0.219291,0.490852,-1.05089,-1.39026,0.564934,0.872366,0.220742,-0.804546,2.12318,-0.831803,-0.0615769,-0.254039,-1.61183,-0.709366,0.769501,0.226736,0.417396,2.16068,1.2322,-0.950245,0.121579,0.122908,-1.27461,-0.0104872,0.0971699,-0.872965,-0.0304305,0.0590668,-12.5733,-7.83212,-1.16428,-3.54848,5.38385,2.76302,-4.68138,8.30492,-0.0587307,0.343711,0.0756183,0.242282,-0.231022,0.241507,-0.206105,-0.158094,-0.0688103,-0.154919,0.00114325,-0.166353,-0.0876242,0.126354,-0.0544216,-0.0271581,-0.351826,0.0540436,-0.454305,0.281,-0.137111,0.270953,0.0468773,0.0941941,0.792939,0.130975,0.324197,-0.317045,1.01514,0.626066,-0.880448,-0.145662,0.0500921,0.121392,1.47005,0.373271,0.32932,0.696142,-3.33213,1.20575,-0.377272,0.160828,0.712074,0.0067533,-0.0801606,-0.561733,-0.149522,-0.3029,0.320508,-0.239373,0.52693,-0.0615524,-0.562851,-0.334745,0.0961975,-0.0458566,0.0567912,-0.38119,2.0933,-0.191302,0.428202,-0.916761,-1.21281,0.492829,0.169861,-0.619099,1.63379,-0.640073,-0.0473835,-0.195483,-1.24031,-0.545858,-1.17089,0.149809,0.151448,-1.57058,-0.0129224,0.119733,-1.07567,-0.0374966,0.0727822,-25.5274,0.294419
-1846.09,0.959668,0.022318,8,255,0,1890.4,-0.163778,9.78909,-1.18652,-0.897721,-0.0651657,-0.494609,0.674778,0.187018,-1.35834,0.611553,8.09688,1.32238,1.09308,-1.53291,-0.0366985,1.21535,0.489746,0.646203,0.585245,0.446567,-0.616255,0.129358,-1.57171,0.480482,0.477847,-1.02329,1.08414,-0.104923,0.24061,0.202525,-2.19828,0.369092,0.0996696,-0.00560651,-0.1181,0.566386,-0.608098,0.0294108,1.84624,-0.110963,1.43933,-0.455314,0.996123,1.24911,-1.71743,1.25991,0.512066,0.192632,0.0455494,0.686083,0.0349042,0.788985,0.575605,-2.91876,0.836046,1.22386,-0.0296555,0.196356,1.22905,-0.00819934,-0.878595,-1.9653,-1.10843,-0.0707072,0.465544,1.08209,-0.627704,1.67258,-0.776919,-0.577694,-1.77672,-0.0293223,2.04703,0.262796,0.015231,-0.150444,0.985538,-0.227579,0.239567,-0.561056,-0.278447,0.058178,2.41668,0.251082,-0.248884,1.62065,-0.756797,-0.482036,-0.141813,-1.87606,0.568962,1.66563,0.228765,0.406893,1.91316,1.1375,-0.637742,0.494211,0.458266,-0.986654,0.414004,0.45186,-0.585753,0.371527,0.462539,-9.6071,-7.26874,-0.527639,-4.00479,5.4636,1.51426,-10.9983,4.95168,0.590531,0.488134,-0.684546,-0.0163883,0.542734,0.218704,0.288573,0.261351,-0.148277,0.0311249,-0.378169,0.115609,0.114975,-0.246214,0.260854,-0.0252454,0.00595644,-0.0646532,0.0108553,0.00293136,-0.000164892,-0.0034734,0.0166579,-0.0178846,0.945394,-0.0568205,0.73703,-0.233151,0.51008,0.639625,-0.879437,0.645156,0.235754,0.055746,0.839668,0.0427178,0.965606,0.704458,-3.57214,1.0232,-0.0138059,0.0914123,0.572179,-0.00381716,-0.409025,-0.914934,-0.516024,-0.0329173,0.284368,-0.164958,0.439547,-0.204171,-0.151815,-0.466915,-0.00770578,0.537952,0.0368085,-0.363575,2.38173,-0.549986,0.578958,-1.35589,-0.672918,0.140598,0.418211,-0.41455,2.69941,-1.26055,-0.802896,-0.236209,-3.12483,0.947683,-0.725431,0.562165,0.521278,-1.12232,0.470929,0.513991,-0.666294,0.422612,0.526139,-28.0351,-0.163778
