# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 2
# model = model_1538720cf26b_model
# start_datetime = 2023-06-19 14:24:16 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/standata-15382cd8736d.json
# init = 2 (Default)
# random
#   seed = 236
# output
#   file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-202306191124-4-1bbe1d.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /var/folders/fy/v4w9p72s7c996w8l8qfthxq40000gn/T/RtmpmwNUZG/model_528b3f9cfb1e303abe35a8ef32934e2e-profile-202306191124-4-56f6e7.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.2
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1.1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2.1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3.1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4.1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5.1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6.1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7.1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8.1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9.1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10.1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11.1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.37504
# Diagonal elements of inverse mass matrix:
# 11.4057, 11.7366, 0.936536, 1.15047, 1.001, 0.878106, 1.01588, 1.07352, 1.07379, 1.03477, 1.35306, 1.01704, 1.04214, 1.03857, 0.970719, 0.951343, 0.926668, 0.96085, 0.864697, 1.71072, 1.0498, 0.811328, 1.0702, 1.04244, 0.912822, 0.977308, 0.995537, 0.986236, 1.93353, 0.775604, 1.09762, 0.76368, 0.812724, 0.966039, 0.929583, 1.09306, 1.09828, 1.33861, 0.963826, 1.14699, 1.05137, 1.14899, 0.925478, 1.04191, 1.06752, 1.09828, 1.12695, 0.787023, 1.20611, 0.829369, 0.932016, 0.92867, 0.996077, 0.920337, 0.933047, 1.09654, 1.04247, 0.980289, 0.885367, 0.824392, 1.09977, 1.06982, 0.937491, 1.16725, 1.71468, 1.03885, 0.817477, 0.94257, 1.10176, 0.856297, 1.07076, 1.04692, 1.0858, 1.16752, 0.850688, 0.913436, 1.04483, 0.763592, 0.919734, 0.989408, 1.12507, 0.944881, 1.42364, 1.0253, 0.987877, 0.926186, 0.979258, 1.11416, 1.02635, 0.998192, 0.932236, 1.19178, 0.995809, 1.02801, 0.948143, 1.20588, 0.882989, 1.00928, 0.969959, 0.89784, 1.29478, 1.09579, 1.34939, 1.26023, 1.08452, 0.940531, 1.03787, 0.916383, 1.09292, 0.939984, 0.977202, 0.915934, 1.04553, 0.990109
-154.788,1,0.37504,4,15,0,221.934,2.76588,2.10548,0.445456,-1.28299,-0.334754,-1.04093,-0.274989,0.356704,0.506819,0.745442,2.74927,0.361544,-1.13023,-0.491898,0.974528,0.786887,0.998062,0.709446,-0.0451514,1.50241,0.248999,-0.99392,-1.86918,0.732388,-0.671185,0.496733,-1.9649,-1.1904,1.46431,0.680689,-0.179756,0.49487,0.556278,0.162772,-0.701107,1.49518,1.16355,2.37716,-0.0976627,-0.568221,0.795949,-0.735057,0.306251,2.1243,1.2735,1.02674,2.29563,-0.995265,0.213459,-0.620055,0.221816,-2.13688,-1.75064,0.132107,-1.26953,1.03798,-0.478929,-0.0439187,-0.922616,0.602769,0.631793,-0.773378,0.547269,-0.51627,2.09195,-0.771906,-0.42209,-1.91268,1.7541,-0.795154,-0.833414,0.171294,0.490983,1.45726,-0.502321,-0.0348014,2.00164,-0.259812,0.617059,0.314943,-0.487641,0.733164,1.35277,0.755454,-1.86216,0.850795,0.856636,0.503037,0.305336,-1.84634,0.0180758,1.31312,1.6749,-0.312113,0.479713,-0.355466,1.73387,0.406088,-1.14716,-0.442695,0.0267648,0.688256,0.594624,3.11716,4.88518,0.301175,1.5782,-0.322736,0.350506,-0.27207,-1.26493,-0.236141,0.199814,-0.0833988,1.22468,-3.52729,-0.920331,-2.8618,-0.756021,0.980678,1.39339,2.04942,0.543187,-1.69807,-0.739033,1.46414,1.18223,1.4995,1.06588,-0.0678361,0.364613,-1.45541,-2.73707,1.07245,-0.982825,0.727373,-2.87723,-1.74312,1.6181,-0.427309,1.17638,1.32236,0.386935,-1.66664,3.55428,2.76593,-0.224198,-1.30443,1.82721,-1.68742,0.703039,4.8766,2.9235,2.35701,-1.03306,0.221566,-0.643603,0.230241,-2.21803,-1.81713,0.137124,-1.31775,-1.0019,-0.091876,-1.93007,1.26097,1.32168,-1.61787,1.14486,-1.08001,-1.12487,-0.615096,-2.78728,2.55618,-1.15875,-1.2145,0.24962,0.715491,-0.679527,-0.0470785,2.70777,-0.351467,0.834742,0.426046,-0.659668,0.991806,0.992,-2.44524,1.11719,1.12486,0.660546,0.400942,-2.42447,0.0237356,0.0448282,-0.00835363,0.0128394,-0.00951398,0.0464068,0.0108689,-0.0307036,-0.0118486,1.4713,7.70978,-1.57663,1.71229,-1.32911,-6.1794,-1.15359,0.976128,-0.407418,-25.5381,2.76588
-160.297,0.744767,0.37504,4,15,0,211.3,1.00247,1.59584,-0.278387,0.88638,-1.34653,-1.1249,0.836239,0.145687,0.59792,-0.163843,2.52512,-0.755098,-0.597181,1.54852,-0.883844,-1.3316,0.258275,0.352786,0.703239,0.55083,-0.234588,0.432456,0.760956,0.712902,-0.438817,0.789438,-0.0431447,0.865959,3.9578,0.610597,-0.506626,-0.654682,-0.11294,1.62098,0.908871,-0.253154,-0.774456,2.58756,-0.268026,0.680278,-0.00833308,-0.160605,-0.198325,-0.969942,-0.820297,1.87757,0.779086,0.478662,-0.638504,-0.277647,-0.806126,-0.161537,-0.341738,-1.42798,-0.406984,0.213624,0.327823,0.384883,-0.0653462,1.02703,0.860319,2.11893,-0.305513,1.10129,0.515289,0.148614,2.05446,0.648883,0.94227,-0.752333,0.261809,0.141331,0.968445,5.17759,-2.217,-0.186017,-0.649067,0.42543,-0.623488,-2.33099,-0.726385,-0.115825,0.115682,-0.592676,0.32864,0.112855,-2.41812,-1.21354,0.292649,1.29486,-0.607587,3.61622,0.227121,-2.0624,-0.718834,-0.087655,-0.733338,1.1889,1.23545,0.715217,0.026227,0.880162,8.65786,4.57135,7.66818,0.64761,-0.221852,-0.645832,0.0180933,-0.709733,0.173852,-1.44176,0.22644,0.127392,-0.70296,2.23822,-3.40014,-2.84051,2.1116,0.367878,1.50982,-0.413723,-0.415931,-0.328945,0.852971,-0.486848,-0.733483,0.142266,0.194325,0.387365,-0.928453,1.71157,3.01171,2.82152,-1.73675,3.12444,-0.170758,3.42729,1.57996,-1.31093,-1.69403,-0.292238,4.19438,2.35176,-0.655052,-2.00395,-0.208815,0.529995,-0.00649219,-0.125125,-0.154512,-0.755669,-0.639082,1.46279,0.102253,-0.136399,-0.059312,-0.172208,-0.0345081,-0.0730032,-0.305049,-0.0869414,0.168924,0.198326,-0.0336722,0.529218,0.443313,1.09186,-0.157427,0.56748,0.769459,10.6371,3.35965,4.87869,-3.89527,1.35554,0.731755,5.01421,-0.256468,-0.0215189,-0.0750855,0.0492147,-0.0721266,-0.269654,-0.0840299,-0.0133989,-2.14325,1.18844,0.408108,-8.74446,-4.38842,1.05828,4.68251,-2.19717,0.00595671,-0.0540907,-0.0188529,-0.00229893,-0.0192333,0.0311813,0.0324022,0.018758,4.96599,-1.7012,-4.95236,0.138743,-5.44236,1.33313,-11.0557,1.73638,0.976868,-32.5286,1.00247
-160.525,0.887294,0.37504,4,15,0,214.289,-1.68241,-0.433641,0.204633,-0.679656,0.75107,1.17707,-0.781411,-0.583572,-1.25315,0.162809,4.51172,0.0778146,0.265224,-1.15531,0.738344,1.33322,-0.201147,-0.485155,-0.708848,9.55671,0.13225,-0.51202,-1.02671,-0.682969,0.433232,-0.524376,-0.243846,-0.701297,4.45225,-0.582515,0.035111,0.58676,0.173115,-1.2941,-0.831033,0.363321,1.20381,1.42306,-0.0432957,-0.455312,0.340564,0.617421,0.399261,1.17758,1.13848,-1.66758,5.52557,-0.477081,0.767387,0.342889,0.800845,0.185025,0.460266,1.27966,0.449867,8.39998,-0.676339,-0.442946,0.0803856,-1.06008,-0.651821,-2.90325,0.327582,-1.11826,5.74606,-1.00688,-2.16563,-0.610518,-1.11724,0.755292,-0.909354,0.0770701,-0.707879,0.404679,2.19903,0.373055,0.238689,-0.367073,0.5982,2.6744,1.09226,-0.000237939,2.91107,0.633951,-0.210949,-0.14199,2.09547,1.50733,-0.451298,-1.04878,0.605271,2.78323,0.223863,2.04187,0.901066,0.74047,0.680912,-1.34685,-1.13094,-0.633404,0.414974,0.116255,0.300621,7.35408,0.261817,-0.760412,0.193511,0.631321,-0.558456,0.71894,0.0204861,1.51735,-0.060953,0.339507,0.923249,-3.06642,3.38862,5.31063,-3.52551,-2.63291,-5.65384,0.734548,0.743651,2.53467,-11.0409,7.05614,12.7412,-1.92231,-4.63649,-6.77426,0.58881,-2.27964,-4.57117,-3.04075,1.92886,-2.33465,-1.08566,-3.12235,-0.828954,0.049965,0.834995,0.246354,-1.84158,-1.18261,0.517027,1.71309,-0.239234,-2.51586,1.88181,3.41161,2.20615,6.5068,6.29073,-9.21431,-4.00747,6.44604,2.88026,6.72708,1.55421,3.86622,10.7491,3.77887,-3.88628,-2.5452,0.461901,-6.0913,-3.7454,-16.6823,1.88231,-6.42558,-0.407464,-0.876385,-0.247064,-0.452122,0.305651,-0.367996,0.0311887,-0.286464,6.40153,1.08599,0.694841,-1.06858,1.7414,7.78538,3.17965,-0.000692658,1.76443,-0.587118,-0.395192,5.83217,4.19523,-1.25607,-2.91898,1.68461,0.0928972,0.847323,0.373919,0.307276,0.282561,-0.558906,-0.469312,-0.262846,-0.199089,0.0506644,0.165291,-0.146214,0.188231,0.00536362,0.397268,-0.0159586,0.0888888,-37.586,-1.68241
-158.393,0.963876,0.37504,4,15,0,208.578,-0.942376,0.439733,-0.269393,-0.548725,-1.07836,-1.13569,1.11296,1.14076,1.5042,-0.0785882,0.68732,-0.261701,-0.276894,0.988114,-0.936521,-1.36346,0.0907876,0.438419,0.709363,0.505044,0.25969,0.458722,0.988316,0.951568,-0.253222,0.643607,0.261175,0.709544,5.24057,0.660052,-0.367049,-1.01675,-0.237717,1.38139,0.756372,0.177859,-1.17682,2.48983,0.0689864,-0.620908,0.0704179,-0.686238,-0.0497828,-0.863792,-1.42194,1.5712,0.743174,0.50491,-0.532048,-0.379476,-0.928591,-0.192275,-0.469184,-1.16417,-0.577031,0.374217,0.380826,0.457417,-0.11804,0.96236,0.896551,2.50182,-0.27717,1.26925,2.7368,0.669942,2.21027,0.543276,0.939908,-0.759203,0.507581,0.13544,1.11125,7.86158,-2.19673,-0.41774,-0.011908,0.441134,-0.740663,-2.06314,-1.00427,-0.154761,2.88866,-0.403756,0.41694,0.0840778,-1.96267,-1.19323,0.381632,1.359,-0.394778,0.574509,-0.210429,-1.66111,-0.843133,-1.34009,-0.651397,1.335,1.00567,0.748976,0.402299,0.881956,10.0716,4.68482,6.73032,0.73937,0.166893,-0.406227,0.948275,-0.894255,-0.051091,-1.58116,0.0175154,-0.401026,-0.185159,-0.37715,-0.741176,-0.780583,0.764957,0.784068,1.03387,-0.0540152,-0.13217,-0.139844,0.499041,-0.472984,-0.688605,0.0458517,0.221421,0.35826,1.36092,2.40396,5.17934,4.98676,-1.32703,3.37286,1.36871,3.71841,1.64342,-0.913892,-2.53153,-0.591876,3.43944,1.88324,0.442839,-2.93008,0.0512689,-0.461442,0.0523328,-0.509994,-0.0369973,-0.641948,-1.05675,1.16768,0.188946,-0.199101,-0.142006,-0.347494,-0.0719523,-0.175576,-0.435653,-0.215935,1.04224,1.25186,-0.323052,2.63379,2.45368,6.84698,-0.758558,3.47367,5.2668,17.3762,4.271,7.38916,-5.96854,3.99039,1.06478,8.7362,-6.34559,-1.20671,-0.0343981,1.27429,-2.13952,-5.95971,-2.90098,-0.447052,-0.231962,0.239536,0.0483034,-1.12757,-0.685522,0.219251,0.780759,-0.226804,-0.0846555,-0.668262,-0.339191,-0.539115,-0.262056,0.537068,0.404579,0.301312,4.9762,1.12324,-2.73403,6.3822,-6.01862,-0.343859,-10.6417,0.117884,-2.69903,-34.3119,-0.942376
-165.92,0.799312,0.37504,4,15,0,217.864,0.939652,-0.479392,2.26218,-0.318247,0.0456463,1.38821,-0.748849,0.735563,-1.37779,0.397822,1.66681,1.7138,-0.347444,-0.867304,-0.517128,-1.84116,0.632205,1.71174,0.669583,4.6501,-1.47055,-1.5544,0.441529,0.165079,0.14808,-0.19812,0.249785,-1.12198,0.195099,-1.33926,1.54899,1.30049,-0.535314,-0.857706,0.82419,-1.92374,-0.181455,2.40122,0.815996,0.246903,-1.38074,-0.57114,-0.462065,1.68392,-0.114496,0.0542822,12.9767,0.430486,-0.779328,0.81903,0.913352,-0.0103098,-0.16467,0.0264155,-0.932845,10.7346,-0.477325,0.246045,0.266734,-0.504998,0.718332,-1.40498,-0.0699852,0.556791,1.90932,-0.783655,0.383283,0.182586,-0.61795,0.943208,0.638019,0.957505,-0.751463,1.34184,-0.489971,0.0246175,-1.59127,-1.42695,-0.643146,-0.0733455,0.869485,0.54556,1.42292,0.468941,-1.79306,0.0011413,0.282699,0.104036,-0.777048,1.4189,-2.12317,5.71631,1.56687,1.31581,-1.40749,-0.0755106,-0.715816,-1.59885,0.165309,0.257882,0.583831,0.145614,0.0999685,2.10912,0.139284,0.0493752,1.18853,0.199325,1.31971,-0.353738,-1.92764,0.20036,0.453917,-0.392682,3.77062,-0.530456,0.0760837,2.31388,-1.24819,1.22604,-2.29652,0.663094,7.96932,-1.61565,-4.03305,-2.4047,-8.56158,2.93981,7.95975,3.11363,-0.286904,-0.303262,0.0861419,0.0322068,0.0288903,-0.0386531,0.0487328,-0.218897,-3.21587,3.71947,3.12278,-1.28541,-2.05954,1.97907,-4.61932,-0.435713,10.5889,3.20399,-17.9174,-7.41151,-5.99607,21.8517,-1.48578,0.704403,4.62107,-8.36574,8.79192,9.80443,-0.110672,-1.76766,0.283558,-10.0137,-0.911365,0.469779,0.50928,-0.964202,1.37153,-2.68255,-0.133624,1.06309,-1.05154,0.514305,0.245002,-0.829191,1.26564,0.85612,1.28482,-1.00834,-0.697189,0.0350287,-2.26426,-2.03043,-0.915145,-0.104365,1.23721,0.776288,2.68061,-10.2497,0.00652403,1.61599,0.594704,-4.44184,8.11084,-12.1367,0.914785,0.768208,-0.821737,-0.0440854,-0.417916,-0.933458,0.0965124,0.15056,0.00687719,0.165543,0.0277629,0.183815,-0.0492701,-0.26849,0.027907,0.0632235,-0.0546945,-34.576,0.939652
-161.777,0.895561,0.37504,4,15,0,219.439,1.47564,-4.35581,-1.82649,0.035609,0.0428614,-0.510978,0.894525,0.135166,0.0744236,-0.520806,2.546,-1.37035,1.28913,0.973608,0.410279,1.64666,-0.105578,-1.70716,-0.278867,0.323744,1.13334,1.42416,0.189407,0.295703,-0.545214,1.05943,0.312133,1.18576,12.9405,1.0598,-1.89844,-1.30177,0.886141,0.935794,-1.11728,1.15395,0.610813,3.82794,-0.854155,-0.409902,1.95693,0.65248,0.577855,-1.86208,-0.20805,0.349646,0.129174,-0.293306,1.0495,-0.610541,-0.168743,-0.235275,1.12989,0.178962,0.0133469,0.114779,0.707463,-1.20452,-0.106088,0.514786,-0.184775,0.230195,-0.272262,0.699755,1.76779,1.08885,-0.0288991,0.581676,0.848035,-0.98204,-0.110429,-1.54783,0.848288,0.855261,0.601061,-1.30572,1.2779,1.38533,0.0498299,0.464454,-0.324992,-1.35295,0.962383,-0.337633,1.39968,0.593067,0.645162,-0.424492,0.245697,-1.2315,1.97255,0.589156,-0.139165,0.119174,0.96728,0.87443,0.54451,0.359862,-0.306883,-0.178515,0.521706,0.770617,12.6175,2.59709,0.171091,-0.750951,-0.404087,-0.0573084,0.541319,0.560903,0.75371,-0.833811,-0.11911,-0.46471,-4.65026,0.0906606,0.109125,-1.30095,2.27746,0.344133,0.189483,-1.32597,-0.443643,0.417349,0.3152,0.132826,0.533098,-0.0341802,-0.552683,-0.0902817,14.6661,18.4293,2.45102,3.82655,-7.05535,13.7095,4.03916,15.3443,4.05683,-7.26711,-4.98309,3.39209,3.58216,-4.27689,4.41723,2.33816,-0.110335,-0.0529488,0.252785,0.0842836,0.074644,-0.240533,-0.0268747,0.0451653,-0.0336653,0.12046,-0.070077,-0.0193681,-0.0270045,0.129687,0.020541,0.00153194,1.25065,-2.12934,-0.187541,0.910035,-0.326645,0.406938,-0.481304,1.23702,0.931255,-0.0247163,0.497485,0.725291,-0.839901,-0.0944459,-1.3238,0.725508,0.57845,-1.2566,1.22983,1.33322,0.0479554,0.446983,-0.312766,-1.30205,-0.198919,0.824633,0.349409,0.380102,-0.250092,0.144754,-0.725547,1.16214,-0.0726031,0.0621735,0.504636,0.456195,0.284074,0.187742,-0.160103,-0.0931325,-0.128481,-0.0691358,-0.00980496,0.092615,0.0959656,0.128953,-0.142658,-0.0203786,-0.0795079,-33.2742,1.47564
