# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=26
# stan_version_patch=1
# init=random
# enable_random_init=1
# seed=236
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=12
# sampler_t=NUTS(diag_e)
# sample_file=model-alt/model_diss_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,Intercept,bs.1,zs_1_1.1,zs_1_1.2,zs_1_1.3,zs_1_1.4,zs_1_1.5,zs_1_1.6,zs_1_1.7,zs_1_1.8,sds_1_1,zs_2_1.1,zs_2_1.2,zs_2_1.3,zs_2_1.4,zs_2_1.5,zs_2_1.6,zs_2_1.7,zs_2_1.8,sds_2_1,zs_3_1.1,zs_3_1.2,zs_3_1.3,zs_3_1.4,zs_3_1.5,zs_3_1.6,zs_3_1.7,zs_3_1.8,sds_3_1,zs_4_1.1,zs_4_1.2,zs_4_1.3,zs_4_1.4,zs_4_1.5,zs_4_1.6,zs_4_1.7,zs_4_1.8,sds_4_1,zs_5_1.1,zs_5_1.2,zs_5_1.3,zs_5_1.4,zs_5_1.5,zs_5_1.6,zs_5_1.7,zs_5_1.8,sds_5_1,zs_6_1.1,zs_6_1.2,zs_6_1.3,zs_6_1.4,zs_6_1.5,zs_6_1.6,zs_6_1.7,zs_6_1.8,sds_6_1,zs_7_1.1,zs_7_1.2,zs_7_1.3,zs_7_1.4,zs_7_1.5,zs_7_1.6,zs_7_1.7,zs_7_1.8,sds_7_1,zs_8_1.1,zs_8_1.2,zs_8_1.3,zs_8_1.4,zs_8_1.5,zs_8_1.6,zs_8_1.7,zs_8_1.8,sds_8_1,zs_9_1.1,zs_9_1.2,zs_9_1.3,zs_9_1.4,zs_9_1.5,zs_9_1.6,zs_9_1.7,zs_9_1.8,sds_9_1,zs_10_1.1,zs_10_1.2,zs_10_1.3,zs_10_1.4,zs_10_1.5,zs_10_1.6,zs_10_1.7,zs_10_1.8,sds_10_1,zs_11_1.1,zs_11_1.2,zs_11_1.3,zs_11_1.4,zs_11_1.5,zs_11_1.6,zs_11_1.7,zs_11_1.8,sds_11_1,ar.1,sigma,nu,sd_1.1,z_1.1.1,z_1.1.2,z_1.1.3,z_1.1.4,z_1.1.5,z_1.1.6,z_1.1.7,z_1.1.8,z_1.1.9,s_1_1.1,s_1_1.2,s_1_1.3,s_1_1.4,s_1_1.5,s_1_1.6,s_1_1.7,s_1_1.8,s_2_1.1,s_2_1.2,s_2_1.3,s_2_1.4,s_2_1.5,s_2_1.6,s_2_1.7,s_2_1.8,s_3_1.1,s_3_1.2,s_3_1.3,s_3_1.4,s_3_1.5,s_3_1.6,s_3_1.7,s_3_1.8,s_4_1.1,s_4_1.2,s_4_1.3,s_4_1.4,s_4_1.5,s_4_1.6,s_4_1.7,s_4_1.8,s_5_1.1,s_5_1.2,s_5_1.3,s_5_1.4,s_5_1.5,s_5_1.6,s_5_1.7,s_5_1.8,s_6_1.1,s_6_1.2,s_6_1.3,s_6_1.4,s_6_1.5,s_6_1.6,s_6_1.7,s_6_1.8,s_7_1.1,s_7_1.2,s_7_1.3,s_7_1.4,s_7_1.5,s_7_1.6,s_7_1.7,s_7_1.8,s_8_1.1,s_8_1.2,s_8_1.3,s_8_1.4,s_8_1.5,s_8_1.6,s_8_1.7,s_8_1.8,s_9_1.1,s_9_1.2,s_9_1.3,s_9_1.4,s_9_1.5,s_9_1.6,s_9_1.7,s_9_1.8,s_10_1.1,s_10_1.2,s_10_1.3,s_10_1.4,s_10_1.5,s_10_1.6,s_10_1.7,s_10_1.8,s_11_1.1,s_11_1.2,s_11_1.3,s_11_1.4,s_11_1.5,s_11_1.6,s_11_1.7,s_11_1.8,r_1_1.1,r_1_1.2,r_1_1.3,r_1_1.4,r_1_1.5,r_1_1.6,r_1_1.7,r_1_1.8,r_1_1.9,lprior,b_Intercept
# Adaptation terminated
# Step size = 0.0170593
# Diagonal elements of inverse mass matrix:
# 0.13068, 1.99325, 0.482106, 0.0441668, 0.00811123, 0.00840473, 0.0227942, 0.135805, 0.0754222, 0.365805, 0.0646055, 0.145049, 0.0276154, 0.176443, 0.204172, 0.332784, 0.257967, 0.410792, 0.513714, 0.137482, 0.0406113, 0.00630599, 0.0940592, 0.176071, 0.128501, 0.0930475, 0.146244, 0.145998, 0.0749872, 0.0745849, 0.0094735, 0.110275, 0.215059, 0.174638, 0.0922077, 0.190679, 0.161454, 0.0981738, 0.280939, 0.176658, 0.438958, 0.343461, 0.659394, 0.542693, 0.606216, 0.871856, 0.607713, 0.569489, 0.566844, 0.709412, 0.640705, 0.817921, 0.906439, 0.889454, 1.02718, 1.07693, 0.636011, 0.461644, 0.89205, 0.597103, 0.935524, 0.976647, 0.935092, 0.956798, 0.980917, 0.479061, 0.291456, 0.762922, 0.510902, 0.842418, 0.818315, 0.902268, 0.876134, 1.56761, 0.671257, 0.693447, 0.842166, 0.860325, 0.837639, 0.978376, 0.980496, 0.976403, 1.30464, 0.656753, 0.501879, 0.693046, 0.737233, 0.892017, 0.868684, 0.789195, 0.937036, 1.05535, 0.103247, 0.0824073, 0.147789, 0.0360227, 0.20213, 0.0912316, 0.240785, 0.200916, 0.0851953, 0.0117356, 0.00235025, 0.0478883, 0.0736615, 0.144759, 0.194672, 0.207856, 0.268532, 0.135424, 0.135176, 0.234985, 0.133419, 0.131365
-262.37,0.921239,0.0170593,8,255,0,313.862,0.45912,-2.12803,-0.379115,0.421359,-0.133931,0.022268,-0.0033745,-0.881712,0.0777902,-1.47933,13.5793,-1.37769,0.284862,0.851212,-2.21756,0.732702,-0.464894,1.64912,2.95101,0.422498,-0.376452,-0.106208,0.385012,-1.07957,0.508222,-0.547909,0.332577,1.09991,1.60056,-0.687597,-0.33084,1.062,-1.71213,0.980722,-0.75647,1.5578,1.27398,0.959314,0.181534,-0.192108,0.357441,0.440189,0.55158,-0.296845,1.13614,-1.46201,1.20939,0.763909,0.36072,0.0738493,0.359626,-0.370931,1.03075,-0.0267167,1.13461,0.152052,-0.33258,0.773261,0.274073,1.33301,1.09748,-0.273987,0.685431,-1.04151,0.0540095,-0.678828,-0.409836,-0.642525,0.377451,-0.3844,1.70125,0.642349,1.26779,0.0686976,0.0110522,-0.782913,0.185994,0.777873,-0.42302,-0.21654,1.73714,-0.777486,0.110758,0.463121,-1.45244,-0.768238,1.04088,-0.727626,0.260132,0.848168,-0.785234,0.0414186,-1.24603,0.80641,1.25986,-0.0676755,-1.32312,0.197798,-1.56103,-0.105956,0.0856899,0.656982,0.129057,1.50343,1.46817,-0.724092,0.280645,0.342157,-1.30315,-0.113739,-0.0953533,-1.10218,-0.143507,-0.173361,-5.14809,5.72174,-1.81869,0.302383,-0.0458232,-11.973,1.05633,-20.0882,-0.582072,0.120353,0.359635,-0.936915,0.309565,-0.196417,0.696748,1.2468,-0.602534,-0.169993,0.616234,-1.72791,0.813439,-0.87696,0.532309,1.76047,-0.659621,-0.31738,1.01879,-1.64247,0.940821,-0.725692,1.49442,1.22215,0.219546,-0.232334,0.432286,0.532361,0.667077,-0.359002,1.37404,-1.76814,0.116154,0.0548481,0.0112289,0.0546818,-0.0564008,0.156727,-0.00406233,0.172519,-0.0179625,0.0417634,0.0148025,0.071995,0.0592744,-0.0147979,0.0370198,-0.0562517,-0.0466339,-0.0281547,-0.0441399,0.02593,-0.0264074,0.116872,0.0441278,0.0870942,0.00122412,-0.0867141,0.0206004,0.0861559,-0.046853,-0.0239836,0.192403,-0.086113,0.0191818,-0.0601582,-0.0318193,0.0431118,-0.0301372,0.0107743,0.0351299,-0.0325233,-0.106772,0.0691012,0.107957,-0.0057991,-0.113378,0.0169493,-0.133764,-0.00907933,-1.06309,0.412034,0.502345,-1.91325,-0.166988,-0.139995,-1.61818,-0.210693,-0.254524,-25.3462,0.45912
-257.042,0.999751,0.0170593,8,255,0,316.054,-0.311902,-2.43519,-0.662963,0.784457,-0.255758,0.0252971,0.110462,-1.97725,0.355071,-2.59975,6.35109,-1.53912,0.330038,2.16175,0.0309043,-0.305011,-0.0146662,1.03401,-1.01603,0.539085,-0.556346,-0.0968445,0.695678,-1.38442,0.696207,-0.168995,0.781248,0.53056,1.09484,-0.608476,-0.133433,0.759848,-0.991529,0.640483,-0.327539,-0.1145,0.641642,1.56866,0.722805,-0.150931,0.769182,1.80973,-2.19499,-0.52883,-0.525453,-0.587901,0.468149,0.642953,1.11289,-0.554884,0.448975,0.27569,1.2021,0.275593,-0.694154,0.107012,-0.247,0.511577,-0.292867,0.462634,-1.32342,0.665083,-0.983825,1.31022,0.136192,0.873845,-0.519396,-0.806482,0.296033,0.217883,-1.85784,-1.03569,-0.409299,0.221743,0.475499,0.180147,0.0253408,0.800456,1.08899,0.705467,-0.461726,0.100197,0.0665037,-0.603865,0.377777,0.526401,-0.291568,0.618303,0.290864,-0.60811,0.857675,0.0273882,-1.17867,0.721566,1.10942,0.249101,-1.08137,0.603604,-0.511629,0.500955,0.0893628,0.688121,0.123063,1.4059,1.25864,-0.135087,0.938444,1.04233,-0.826592,0.419613,0.476157,-0.717013,0.437621,0.424314,-4.21054,4.98216,-1.62434,0.160664,0.701552,-12.5577,2.25509,-16.5113,-0.829715,0.177919,1.16537,0.01666,-0.164427,-0.00790632,0.557422,-0.547725,-0.609109,-0.106029,0.761656,-1.51572,0.762235,-0.185023,0.855341,0.580878,-0.954494,-0.209311,1.19195,-1.55537,1.0047,-0.513798,-0.179612,1.00652,0.33838,-0.0706584,0.360092,0.847224,-1.02758,-0.247571,-0.24599,-0.275225,0.0688037,0.119093,-0.0593793,0.0480458,0.0295021,0.12864,0.0294918,-0.0742829,-0.0336394,0.0696729,-0.0398862,0.0630071,-0.18024,0.0905792,-0.133989,0.178442,0.193769,-0.115172,-0.178832,0.0656432,0.0483141,-0.411964,-0.229656,-0.0907592,0.0316224,0.0119804,0.00168526,0.0532333,0.0724221,0.0469161,-0.0307065,0.00666349,-0.0165388,0.0103466,0.0144172,-0.00798553,0.0169342,0.00796624,-0.0166551,0.0234902,-0.105329,0.0644812,0.0991411,0.0222603,-0.0966343,0.0539397,-0.0457206,0.0447667,-0.170025,1.18116,1.31191,-1.04038,0.528141,0.59931,-0.902461,0.550807,0.534059,-22.9552,-0.311902
-257.479,0.840569,0.0170593,8,255,0,303.043,-0.429149,-2.91323,-1.15537,0.699133,-0.309857,0.0156108,0.034018,-1.83415,0.402444,-2.67432,5.68276,-1.43246,0.360433,2.04688,-0.60127,-0.77881,-0.117935,0.168139,-0.733615,0.633966,-0.678458,-0.121836,1.08446,-1.59323,1.09924,-0.269707,0.84624,0.43905,0.86361,-0.4834,-0.0820774,0.462253,-1.0632,0.589516,-0.381576,0.659178,0.400173,1.54718,0.298168,0.104906,-0.421678,0.59441,-1.04221,-0.776281,-0.403474,-1.67308,0.748287,0.816208,1.44573,-0.620587,2.1028,-0.261202,-0.0082133,-0.0601386,-0.962741,0.0943291,0.230585,1.24539,-1.43741,0.0319199,-1.22061,0.168213,-0.280762,1.55512,0.0869726,0.401107,-0.515777,-0.359593,0.619629,0.754158,-1.15705,-0.938928,0.333571,0.0252819,-0.524756,-0.362704,0.499125,0.558833,0.760352,-0.408574,-0.468066,-1.08978,0.138901,-0.224398,0.719873,-0.415988,-0.568988,-0.094221,-0.535669,-1.0649,0.715194,0.0104284,-0.962371,0.7189,1.35269,0.104332,-1.24601,0.246006,-0.84241,0.736367,0.0964091,0.670665,0.113435,1.46456,1.07759,-0.0900314,1.17062,1.25102,-0.8919,0.626411,0.601871,-0.717987,0.634536,0.552516,-6.56568,3.973,-1.76084,0.0887121,0.193316,-10.4231,2.28699,-15.1975,-0.908128,0.228502,1.29765,-0.381185,-0.493739,-0.0747671,0.106595,-0.465087,-0.585923,-0.105219,0.93655,-1.37593,0.949314,-0.232921,0.730822,0.379168,-0.747907,-0.126989,0.715189,-1.64496,0.912088,-0.590367,1.01987,0.619139,0.223115,0.0784998,-0.315536,0.444789,-0.779874,-0.58088,-0.301914,-1.25194,0.0769922,0.136375,-0.0585394,0.198356,-0.0246389,-0.000774753,-0.00567282,-0.0908146,0.0200545,0.108315,-0.125015,0.00277615,-0.10616,0.0146299,-0.0244186,0.135253,0.0101408,-0.0130398,-0.00909122,0.0156654,0.0190666,-0.0292524,-0.0237379,0.00843333,-0.0728893,-0.05038,0.069329,0.0776226,0.105614,-0.0567514,-0.065015,-0.151371,-0.00234011,0.00750714,-0.00433811,-0.00593365,-0.000982577,-0.00558619,-0.0111053,0.00745835,-0.0927813,0.0693085,0.130412,0.0100586,-0.120127,0.0237172,-0.081216,0.0709924,-0.0970173,1.26145,1.3481,-0.961107,0.675017,0.648573,-0.7737,0.683773,0.595388,-22.76,-0.429149
-253.162,0.996175,0.0170593,8,255,0,309.752,-0.457982,-2.08359,-1.17068,0.76025,-0.256127,0.0286634,-0.0316893,-1.98269,0.199978,-2.5837,5.64267,-1.57202,0.391463,1.867,-0.922962,-0.532706,-0.80517,0.188316,-0.0685936,0.483169,-0.683899,-0.128287,1.07918,-1.66159,0.775138,-0.468331,0.571676,0.215177,0.918483,-0.645607,-0.112933,0.688776,-0.995919,0.706296,-0.519514,0.108546,0.602736,1.40211,0.301787,-0.282017,0.463323,1.63893,-0.779118,-1.21037,-0.388093,-0.908202,0.47046,0.112842,1.04329,-1.17659,1.48168,0.507167,0.238543,0.86652,-0.315262,0.129768,0.110902,1.40227,-2.00422,0.510031,-0.828845,0.115372,0.0106322,1.46083,0.12497,-0.0176224,-0.408667,-1.13299,0.115376,0.720454,-2.41768,-0.151818,-0.344491,0.0140616,-0.101984,0.456629,0.227082,-0.094117,0.65541,-0.547146,-0.142917,-0.150427,0.169147,0.402604,0.167073,-0.756303,-0.107982,-0.223389,0.349233,-0.775274,0.726159,0.00576154,-1.00933,0.741714,1.14248,0.0832989,-1.19291,0.503866,-0.814776,0.487179,0.0995733,0.657402,0.114714,1.36334,1.22635,-0.054668,1.05285,1.12009,-0.763367,0.600803,0.587244,-0.598993,0.562382,0.555662,-6.60577,4.28984,-1.44524,0.161738,-0.178812,-11.1877,1.12841,-14.579,-0.759552,0.189143,0.902075,-0.445946,-0.257387,-0.389033,0.0909885,-0.0331423,-0.62815,-0.11783,0.99121,-1.52614,0.711951,-0.430154,0.525075,0.197636,-0.905209,-0.158343,0.965738,-1.39638,0.990302,-0.728414,0.152193,0.8451,0.141979,-0.132678,0.217975,0.771053,-0.366544,-0.56943,-0.182582,-0.427273,0.0146434,0.135386,-0.152683,0.192275,0.0658141,0.0309553,0.112447,-0.040911,0.0138594,0.175242,-0.250469,0.0637388,-0.103581,0.0144181,0.00132871,0.182561,-0.000247799,-0.00574653,-0.0159316,0.00162237,0.0101308,-0.0339965,-0.00213481,-0.00484411,-0.0172503,0.0772372,0.0384102,-0.0159196,0.11086,-0.0925479,-0.0241739,-0.0254441,0.00231962,0.000962597,-0.00435747,-0.000622145,-0.00128706,0.00201212,-0.00446677,0.00418379,-0.100502,0.0738549,0.113761,0.00829435,-0.118782,0.0501716,-0.0811299,0.0485101,-0.0670421,1.29116,1.37362,-0.936154,0.736795,0.720166,-0.734574,0.689677,0.681435,-22.3555,-0.457982
-248.051,0.9678,0.0170593,8,255,0,308.803,-0.0389354,0.490694,-1.47248,0.358165,-0.186187,-0.0824685,0.14095,-1.45205,0.192279,-1.49184,8.06678,-0.866505,0.253113,0.114141,-0.988968,-0.0398977,-0.430971,2.11238,2.09126,0.754148,-0.564132,-0.154454,0.934132,-1.48531,0.732637,-0.694592,1.04372,1.34807,0.966849,-0.499739,-0.0927742,0.618315,-0.854066,0.778033,-0.378639,0.113209,0.937264,1.65639,0.735021,-0.106244,-1.04334,0.613504,-0.619562,-0.227852,0.665914,-1.05322,0.54488,0.27917,0.92556,1.71791,-0.868982,-0.546274,0.658194,-0.84363,1.17338,0.125464,0.205988,0.952777,0.222143,-0.0683371,1.81323,0.878536,0.457243,-1.08668,0.109571,0.257756,-0.0880445,0.689225,-0.47492,-0.567033,2.19782,0.649039,0.0942673,0.0425725,0.670734,0.433758,-0.284047,0.172009,-0.854854,0.23539,0.0375601,-0.366395,0.0219424,-0.137156,-0.673605,0.503,-0.290548,0.195691,-0.249255,0.986497,-0.563114,0.264695,-0.285703,0.325157,0.406449,-0.00425923,-0.591438,0.132004,-0.291216,0.270526,0.280317,0.68744,0.123087,1.52218,1.43718,-0.408529,0.598945,0.691661,-0.964578,0.206901,0.187608,-0.908171,0.191527,0.187789,-11.8781,2.88924,-1.50193,-0.665255,1.13701,-11.7134,1.55108,-12.0343,-0.653472,0.190885,0.0860792,-0.745828,-0.0300887,-0.325016,1.59304,1.57712,-0.545431,-0.149333,0.903165,-1.43607,0.70835,-0.671566,1.00912,1.30338,-0.827764,-0.153671,1.02417,-1.41467,1.28873,-0.627174,0.187519,1.55248,0.400499,-0.0578903,-0.568494,0.334286,-0.337587,-0.124152,0.362843,-0.57388,0.0350258,0.116125,0.215536,-0.109026,-0.0685378,0.0825798,-0.105845,0.147217,0.0225702,0.104396,0.0243403,-0.00748774,0.198677,0.0962617,0.0501004,-0.119068,0.0109733,-0.00374828,0.029342,-0.0202186,-0.02414,0.093567,0.0276312,0.0040132,0.0147175,0.00951766,-0.00623266,0.00377429,-0.0187575,0.005165,0.000824158,-0.00803957,-0.0363044,-0.1783,0.133141,-0.0769066,0.0517985,-0.0659764,0.261121,-0.149053,-0.0800874,0.0911469,0.113934,-0.00119393,-0.16579,0.0370029,-0.0816327,0.0758328,-0.587128,0.86079,0.994039,-1.38627,0.297353,0.269626,-1.3052,0.275258,0.269886,-23.3179,-0.0389354
-243.408,0.997193,0.0170593,8,255,0,293.744,-0.122897,-0.484224,-1.67127,0.356899,-0.239048,-0.118944,0.0386098,-1.27131,0.0897402,-2.01783,6.77329,-1.08305,-0.00110972,1.27663,-0.638668,-0.572625,-1.04013,0.0931959,0.381385,0.906091,-0.517154,-0.168895,0.794862,-1.23519,0.803291,-0.871318,0.241846,0.92568,1.08293,-0.765761,-0.157802,0.918701,-1.41181,1.00999,-0.715697,0.233448,0.732001,1.01953,0.164854,-0.00243102,0.063535,1.30731,-0.206279,-0.536489,-0.0479215,-2.18907,0.567035,1.28911,1.34146,-0.472493,2.11252,0.45682,0.0865615,0.638568,-0.22132,0.0438188,0.262929,0.662028,-0.683561,-0.73748,-1.87574,0.565415,0.551813,0.967217,0.107212,-0.0719559,0.0341379,-1.33674,0.607359,0.925398,-2.14399,-0.0316629,-0.0661808,0.193846,0.0329875,-0.833778,-0.441363,-0.599176,0.838414,1.42377,0.126665,1.39099,0.0270565,-0.0172416,-0.39399,-1.06213,-0.848793,0.0323325,0.236143,-0.77697,0.0947094,0.0864336,-1.02614,0.980462,1.34462,0.193897,-1.23614,0.369605,-0.462182,0.734929,0.0852555,0.628432,0.109112,1.30917,0.710608,-0.530375,1.37436,1.52145,-1.65589,0.546738,0.60393,-1.52534,0.521358,0.489284,-11.32,2.41738,-1.61914,-0.805645,0.261515,-8.61094,0.607836,-13.6673,-0.981342,-0.0010055,1.15674,-0.578691,-0.51885,-0.942457,0.084444,0.34557,-0.560042,-0.182902,0.860781,-1.33763,0.869908,-0.943577,0.261902,1.00245,-0.780717,-0.160884,0.936643,-1.43938,1.02972,-0.729675,0.238008,0.746297,0.0934777,-0.00137847,0.0360266,0.741288,-0.116967,-0.304208,-0.0271731,-1.24128,0.0564874,0.0587812,-0.0207041,0.0925679,0.0200173,0.00379302,0.0279813,-0.00969799,0.0281891,0.0709772,-0.0732858,-0.0790666,-0.201101,0.0606192,0.0591608,0.103697,-0.0139484,0.00661751,-0.259122,0.117734,0.179385,-0.415604,-0.00613774,-0.0128289,0.000892525,-0.0225591,-0.0119417,-0.0162116,0.0226845,0.0385223,0.00342711,0.0376352,-0.00149025,-0.0340539,-0.0918036,-0.0733642,0.00279461,0.0204107,-0.0671563,0.00818607,-0.0874837,0.0835898,0.114636,0.0165308,-0.105387,0.0315109,-0.0394036,0.0626567,-0.376889,0.976635,1.08115,-1.17669,0.388517,0.429158,-1.08392,0.370481,0.347689,-22.2796,-0.122897
