type,ortho_dose,pipe_material,date,location,value,bdl
lead,2.0-0.75,Cu/Pb-Sn,2017-10-12,LP35,4e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-10-12,LP35,3e-4,FALSE
lead,0-0.5,Pb-Cu,2017-10-17,LP11,0.0179,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-10-17,LP11,0.0167,FALSE
lead,0-0.5,Pb #1,2017-10-17,LP12,0.2063,FALSE
lead_dissolved,0-0.5,Pb #1,2017-10-17,LP12,0.1968,FALSE
lead,0-0.5,Pb #2,2017-10-17,LP13,0.2295,FALSE
lead_dissolved,0-0.5,Pb #2,2017-10-17,LP13,0.2188,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-10-17,LP15,7e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-10-17,LP15,6e-4,FALSE
lead,1.0,Pb-Cu,2017-10-17,LP21,0.015,FALSE
lead_dissolved,1.0,Pb-Cu,2017-10-17,LP21,0.0149,FALSE
lead,1.0,Pb #1,2017-10-17,LP22,0.2153,FALSE
lead_dissolved,1.0,Pb #1,2017-10-17,LP22,0.2049,FALSE
lead,1.0,Pb #2,2017-10-17,LP23,0.2308,FALSE
lead_dissolved,1.0,Pb #2,2017-10-17,LP23,0.2206,FALSE
lead,1.0,Cu/Pb-Sn,2017-10-17,LP25,5e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-10-17,LP25,4e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-10-17,LP31,0.0486,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-10-17,LP31,0.0458,FALSE
lead,2.0-0.75,Pb #1,2017-10-17,LP32,0.2571,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-10-17,LP32,0.2423,FALSE
lead,2.0-0.75,Pb #2,2017-10-17,LP33,0.2181,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-10-17,LP33,0.2074,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-10-17,LP35,7e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-10-17,LP35,4e-4,FALSE
lead,0-0.5,Pb-Cu,2017-10-24,LP11,0.0132,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-10-24,LP11,0.0124,FALSE
lead,0-0.5,Pb #1,2017-10-24,LP12,0.1238,FALSE
lead_dissolved,0-0.5,Pb #1,2017-10-24,LP12,0.117,FALSE
lead,0-0.5,Pb #2,2017-10-24,LP13,0.1563,FALSE
lead_dissolved,0-0.5,Pb #2,2017-10-24,LP13,0.1395,FALSE
lead,0-0.5,Cu/Pb-Sn,2017-10-24,LP15,5e-4,FALSE
lead_dissolved,0-0.5,Cu/Pb-Sn,2017-10-24,LP15,4e-4,FALSE
lead,1.0,Pb-Cu,2017-10-24,LP21,0.012,FALSE
lead_dissolved,1.0,Pb-Cu,2017-10-24,LP21,0.0112,FALSE
lead,1.0,Pb #1,2017-10-24,LP22,0.1317,FALSE
lead_dissolved,1.0,Pb #1,2017-10-24,LP22,0.1275,FALSE
lead,1.0,Pb #2,2017-10-24,LP23,0.1427,FALSE
lead_dissolved,1.0,Pb #2,2017-10-24,LP23,0.1349,FALSE
lead,1.0,Cu/Pb-Sn,2017-10-24,LP25,3e-4,FALSE
lead_dissolved,1.0,Cu/Pb-Sn,2017-10-24,LP25,2e-4,FALSE
lead,2.0-0.75,Pb-Cu,2017-10-24,LP31,0.0188,FALSE
lead_dissolved,2.0-0.75,Pb-Cu,2017-10-24,LP31,0.0178,FALSE
lead,2.0-0.75,Pb #1,2017-10-24,LP32,0.1571,FALSE
lead_dissolved,2.0-0.75,Pb #1,2017-10-24,LP32,0.1504,FALSE
lead,2.0-0.75,Pb #2,2017-10-24,LP33,0.1389,FALSE
lead_dissolved,2.0-0.75,Pb #2,2017-10-24,LP33,0.1293,FALSE
lead,2.0-0.75,Cu/Pb-Sn,2017-10-24,LP35,2e-4,FALSE
lead_dissolved,2.0-0.75,Cu/Pb-Sn,2017-10-24,LP35,2e-4,TRUE
lead,0-0.5,Pb-Cu,2017-11-07,LP11,0.0094,FALSE
lead_dissolved,0-0.5,Pb-Cu,2017-11-07,LP11,0.0088,FALSE
lead,0-0.5,Pb #1,2017-11-07,LP12,0.1207,FALSE
